file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,148,css,38ced93a,aarshiagupta,2025-04-11,20:18:13,-07:00,2025-04-11T20:18:13-07:00,1,18
style.css,149,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,1,13
style.css,150,css,38ced93a,aarshiagupta,2025-04-11,20:18:13,-07:00,2025-04-11T20:18:13-07:00,1,23
style.css,151,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,0
style.css,152,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,15
style.css,153,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,1,17
style.css,154,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,0
style.css,155,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,0
style.css,156,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,10
style.css,157,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,1,16
style.css,158,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,0
style.css,159,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,0
style.css,160,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,10
style.css,161,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,1,19
style.css,162,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,0,0
style.css,163,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,0,0
style.css,164,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,0,13
style.css,165,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,1,17
style.css,166,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,1,8
style.css,167,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,1,10
style.css,168,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,1,13
style.css,169,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,1,19
style.css,170,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,0,0
style.css,171,css,dc9fd3af,aarshiagupta,2025-04-18,18:49:38,-07:00,2025-04-18T18:49:38-07:00,0,0
style.css,172,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,12
style.css,173,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,16
style.css,174,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,20
style.css,175,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,0
style.css,176,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,0
style.css,177,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,17
style.css,178,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,12
style.css,179,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,36
style.css,180,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,34
style.css,181,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,19
style.css,182,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,17
style.css,183,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,14
style.css,184,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,0
style.css,185,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,0
style.css,186,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,17
style.css,187,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,10
style.css,188,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,24
style.css,189,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,16
style.css,190,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,10
style.css,191,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,17
style.css,192,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,8
style.css,193,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,0
style.css,194,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,0
style.css,195,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,0,17
style.css,196,css,58e4a1a1,aarshiagupta,2025-04-25,23:54:00,-07:00,2025-04-25T23:54:00-07:00,1,10
